구분,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년
은행,IR-AA+,IR-AA+,IR-AA+,IR-AA+,IR-AA,IR-AA,IR-AA,IR-AA,IR-AA,IR-AA,
전력,IR-AA,IR-AA,IR-AA,IR-AA,IR-AA-,IR-AA-,IR-AA-,IR-AA-,IR-AA-,IR-AA-,
도시가스,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,
손해보험,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,
생명보험,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,
정유,IR-AA-,IR-AA-,IR-AA-,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A+,IR-A,
음식료(식품가공),IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,
음식료(곡물가공),IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,
식품,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,
통신서비스,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,
주류,IR-A,IR-A,IR-A,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,
비철금속,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,
타이어,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,IR-A-,
호텔,IR-BBB,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB,
소매유통,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB,IR-BBB,
신용카드,IR-BBB+,IR-BBB+,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,
제약,IR-BBB+,IR-BBB+,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,
석유화학,IR-BBB+,IR-BBB+,IR-BBB+,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,
증권,IR-BBB+,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,
육상운송,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,
자동차,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,
방송서비스,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,
시멘트,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB,IR-BBB,IR-BBB,IR-BBB,
철강,IR-BBB,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,
전선,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,
항공운송,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,IR-BBB-,
외식,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB,IR-BBB-,IR-BBB-,IR-BB+,IR-BB+,
제지,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,
메모리반도체,IR-BB-,IR-BB-,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB+,IR-BB+,IR-BB+,IR-BB+,
자동차부품,IR-BB,IR-BB,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,
부동산신탁,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,
할부리스,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,
SI,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,IR-BB+,
디스플레이패널,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,
조선,IR-BBB-,IR-BB+,IR-BB+,IR-BB,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,
종합건설,IR-BB,IR-BB,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,
해외건설,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,IR-BB,
화학섬유,IR-B+,IR-B+,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,
저축은행,IR-BB,IR-BB,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,
해상운송,IR-BB,IR-BB,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,
의류,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,IR-BB-,
주택건설,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,
대부,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,IR-B+,
